C31B1E8EF488DE6B: Estadio La Caseta, Noja (3000)
30194F77A7F00DF3: Estadio Pitin, San Javier (3000)
68C0CA586DBD8651: Estadio Municipal La Roda, La Roda (3000)
9A9C2809DC99F17D: Estadio Jose Juan Romero Gil, Gerena (3000)
21DCF93E6CD191F5: Campo Municipal de Futbol Villa Isabel, El Fraile (3000)
653DD8D10A1AB5EA: Estadio Las Callejas, Villaviciosa (3000)
D5411056EBE47F75: Estadio La Florida, Portugalete (3000)
B1F425DF0B611453: Estadio El Mundo de Futbol, Abegondo (3000)
03E0D153138092C2: Estadio San Rafael, Los Barrios (3000)
089C793D2F3B4818: Estadio Navalcarbon, Las Rozas de Madrid (3000)
06AA24012EDF448C: Estadio San Marcos, Quintanar del Rey (2800)
5C8C2E37610DE614: Estadio Miguel Prieto, Granada (2500)
AE9B9CB8215870B8: Estadio Medina Lauxa, Loja (2500)
AA90FAF14892BA95: Estadio San Francisco, Tafalla (2500)
9CB14B4D6836CBAF: Estadio Zubieta XXI, San Sebastian (2500)
0A61B4E74E277C3D: Estadio Municipal San Rafael, San Rafael (2500)
93F7994D99B53266: Ciudad Deportiva de Bunol, Valencia (2500)
2AF5E4BC54804991: Estadio Amelia del Castillo, Pinto (2500)
AAED7F041197A6AC: Estadio Ciudad Real Madrid, Madrid (2500)
3423C962008E20B4: Estadio Municipal, Formentera (2500)
E76E0AAFCEEF9B05: Estadio Municipal de La Victoria de Acentejo, La Victoria de Acentejo (2500)
AD1103C0B9DBC3C8: Estadio Nuestra Senora de la Torre, Madrid (2500)
A98C65C8476FD1B4: Ciudad Deportiva Real Zaragoza, Zaragoza (2500)
C0F639447D189B43: Estadi Nou Barris, Barcelona (2500)
55DB1F144527EC3F: Estadio O Roxo, Cerceda (2500)
AC0AFD0FE2CC2CA1: Campo Municipal Carrer Girona, Granollers (2500)
D47E548D69CEC352: Estadio Lezema, Bilbao (2250)
3CA2A65A34598C10: Estadio Miquel Pons, Binissalem (2000)
1A78AED56A61906B: Campo de La Mina, Madrid (2000)
CA6A8A548C3FC0E6: Campo Municipal de Santa Marina, Redondela (2000)
23DA1DD8F83984DA: Estadio Nuevo Matapinonera, San Sebastian de los Reyes (2000)
117DE87833F17B2B: Estadio La Llometa, Muro de Alcoy (2000)
E5010A07791E9ED4: Estadio Son Bibiloni, Palma de Mallorca (2000)
135E71F7AD4EBCDB: Estadio Municipal de Yaiza, Yaiza (2000)
7568C35671CD79C7: Estadio Valle de las Canas, Pozuelo de Alarcon (2000)
A6299293B5134503: Estadio Hermanos Albiol, Vilamarxant (2000)
F7F23CED2389E201: Estadio San Jorge, Santurtzi (2000)
6C6F143E85459007: Estadio Paquito Jimenez, Socuellamos (2000)
6FB78B5BC7489232: Estadi Poliesportiu Municipal, San Joan d'Alacant (2000)
1DC8CE64F1848886: Estadi Municipal de Lloseta, Lloseta (2000)
9FAB48136F328F43: Estadio La Corona, Almudevar (2000)
CE1680984F2EE10F: Estadio La Eragudina, Astorga (2000)
93C68279FEE4F182: Instalacion Deportiva Butarque, Madrid (2000)
FCA274CC1B2F3EA3: Estadio Mariano Gonzalez, Navalcarnero (1571)
036662999EF1C863: Estadio Baltasar Pujales, Bouzas (1500)
6BC846BEB0144F33: Estadio Municipal de la Via Ferria, Cornella de Llobregat (1500)
AE042EDF4377E65F: Estadio Polideportivo La Juventud, Mancha Real (1500)
0B0750079AF1261A: Estadio Barrana, Boiro (1500)
801ACA8859E9CF70: Anexos al Estadio Jose Zorrilla, Valladolid (1500)
9933847B45D8887C: Estadio Mies de Cozada, San Romad de la Llanilla (1500)
9932D052ED8DDFF3: Estadio Santa Ana, Torrelavega (1500)
7ED76934E4049D16: Estadio Municipal de Santa Eularia, Santa Eularia des Riu (1500)
880BB4569A379250: Estadio Arlonagusia, Lemoa (1500)
3D0630CA58C6B13F: Estadio O Vao, Coruxo (1500)
E2A323F37FF1F4FC: Estadio Municipal de Tarazona, Tarazona (1500)
3508B89E567727C7: Estadio Municipal Peralada, Peralada (1500)
909D5BEB80B87001: Estadio Municipal de Guijuelo, Guijuelo (1500)
630A4E7DBDF7855E: Ciudad Deportiva de la Federacion Malaguena, Malaga (1300)
A4ED804E4AAD863D: Estadio Gobela, Getxo (1200)
7E277BD3AAB173C1: Estadio San Juan, Cintruenigo (1000)
16570D935F7596C7: Estadio A Grela, A Coruna (1000)
A067E41919EAF879: Campo de Futbol Juan Guedes, Las Palmas (1000)
CFE4984F96C1FB6D: Estadio Pardinas, As Somozas (1000)
0A6DB3251C0E1CD2: Estadio La Canaleja, Alcorcon (1000)
B9142AB4850A253E: Estadi Municipal La Pobla, La Pobla (1000)
13066FCBA5BCB243: Estadio Municipal de Manises, Manises (1000)
32BB33941109FAAC: Estadio San Ignacio, Malaga (1000)
3B15B83153F0C5BC: Estadio A Grela, A Coruna (1000)
06A8C3A037FE8EAF: Estadio Vicente del Bosque, Madrid (1000)
6374DB8A173B7A2D: Estadio Jose Luis Companon, Vitoria-Gasteiz (1000)
128547673CF102FD: Estadio Valle Araguren, Multiva (1000)
3BD13D180A478DE7: Ciudad Deportiva Elche, Elche (1000)
46B8DDCF1A7B9D5E: Estadi Municipal Sagnier, El Prat de Llobregat (1000)
C9435B9C2B1D2AD8: Estadio Betono, Vitoria-Gasteiz (1000)
AB88D1F982529EBD: Campo Nuevo Municipal, Villarrubia de los Ojos (1000)
5567BAE3FBE7CB50: Estadio Eugenio Pardo Conchado, Oleiros (1000)
92263C95691DE8CB: Estadio Municipal de Asco, Asco (1000)
A5E6F38B2F742FB1: Estadio Polideportivo Municipal, Boadilla del Monte (1000)
5BF810C21A1E2DE9: Estadio La Albericia, Santander (1000)
40A9569B9EDC49CF: Estadio El Guiniguada, Santa Brigida (800)
9AAE19F031DF6144: Estadio Anexo, Las Palmas (500)
EE995625D8A2A5CB: Estadio Manuel Meler, Borja (500)
8AE73CD5761C550C: Estadio Mundial 82, Logrono (375)
